M4,a,0.75,"Good scoping and credible information, though slightly more novelty could have elevated the presentation further. Slight difficulties when starting the presentation."
M4,b,0.75,"Well-prepared and understandable; the presenters were engaged and handled themselves well."
M4,c,1.0,"Flawless visuals that supported the presentation perfectly; no errors found and high attention paid to accessibility and legal compliance. Visual aids published in Moodle on time."
M4,d,1.0,"Perfect adherence to the 10-15 min window; workload was divided equally and every member was an expert on the entire presentation."
M5,a,1.0,"Perfect scoping; the presentation was highly interesting, added significant value to the course, and was entirely factually sound."
M5,b,0.75,"Decent planning and rehearsal; the presenters were highly engaged."
M5,c,1.0,"Flawless visuals that supported the presentation perfectly and were published on time; no errors found and high attention paid to accessibility and legal compliance."
M5,d,0.75,"Slight time limit violation and no problems with workload distribution; members were sufficiently familiar with each other's sections."
M6,a,0.75,"Good scoping relevant to the course and good info."
M6,b,0.75,"The presentation was easy to follow and appeared to be planned ahead of time."
M6,c,0.75,"Visual aids support the presentation well and were published on time."
M6,d,1.0,"The time limit was just obatined, and workload was definitely well distributed."
M7,a,1.0,"Topic is clear and suitable for the course, and was intresting."
M7,b,0.5,"Presentation well done, all though some issues with the slides, because the text on some slides were overwhelming and unlegible."
M7,c,0.75,"Visual aids published in Moodle."
M7,d,1.0,"The presentation length is within the allowed limits (10 min – 15 min). And the workload was well divided. Good effort."
